Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
veronika-white-patent-leather-boots,Veronika White Patent Leather Boots,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mid-Heels,Ankle Boots",TRUE,Color,White,,,,,,,,100,deny,manual,325.00,325.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5AWdVLFYQdGYyAdbYBGfEd/b9bd1b0dbd0c6b37a8c7df8e9df05f8b/miista-veronika-white-patent-boot-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,325.00,325.00,325.00,active
vivyan-natural-metallic-mix-woven-mules,Vivyan Natural Metallic Mix Woven Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals",TRUE,Color,Natural,,,,,,,,100,deny,manual,225.00,225.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/HFLUNwYWEeoZU8EkXKSRV/31468113f870010658648c2e4cb11b53/miista-vivyan-natural-metallic-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,225.00,225.00,225.00,active
vivyan-silver-gold-mix-woven-mules,Vivyan Silver Gold Mix Woven Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,New Arrivals,Mid-Heels",TRUE,Color,Silver,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/eyxwdv1M4PUZxU4MMshBg/e162f39f2a3c35c278d3e4b5c67a5c9a/miista-vivyan-silver_gold-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
stephanie-ocean-leather-sandals,Stephanie Ocean Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Orange,,,,,,,,100,deny,manual,290.00,290.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/2n41ENFiKb1mHPrisRvdGd/b510ab6db6b856ab673808a002d829af/miista-stephanie-ocean-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,290.00,290.00,290.00,active
carissa-sunrise-towel-sandals,Carissa Sunrise Towel Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals,Mules",TRUE,Color,Orange,,,,,,,,100,deny,manual,182.00,182.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4S6aIx2QICeDqKObQJYDUo/0548b05be8c526ec36a66f46ccf3a626/miista-carissa-sunrise-towel-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,182.00,182.00,182.00,active
nyla-black-nappa-leather-flats,Nyla Black Nappa Leather Flats,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mules,Mid-Heels,New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/2XVNIWS6tM7dxrmw2Ji6HJ/5f8c27cce24daf11873eb30efe2e7946/miista-nyla-black-nappa-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
lynley-sunshine-leather-sandals,Lynley Sunshine Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Sandals,Mid-Heels,New Arrivals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,182.00,182.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5sKfD7u4mtk1BqAYqYLjBy/f6ee8251cb8d8cc10084e24dc9129498/miista-lynley-sunshine-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,182.00,182.00,182.00,active
talaina-queenlux-honey-coffee-mix-sandals,Talaina Queenlux Honey Coffee Mix Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Mid-Heels,New Arrivals,Sandals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,157.50,157.50,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/7u0OlbQlwcUKp91CVNWMFP/fc74e8164aa6eb9fb7044aebe1aad8a4/miista-talaina-queenlux-honey-mules-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,157.50,157.50,157.50,active
justyna-black-nappa-leather-mules,Justyna Black Nappa Leather Mules,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Outlet,High-Heels",TRUE,Color,Black,,,,,,,,100,deny,manual,290.00,290.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/7C0giZmJKz2UOkBk7OxOnx/85406e1368a7d27eebc2f9a62427684e/miista-justyna-black-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,290.00,290.00,290.00,active
alicja-cognac-nappa-leather-heels,Alicja Cognac Nappa Leather Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"High-Heels,New Arrivals,Court Shoes",TRUE,Color,Brown,,,,,,,,100,deny,manual,290.00,290.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/4cIg80NCCWulai4ZcpWeIV/ad6282a2d7a92e94b024eac82da9ec01/miista-alicja-cognac-heels-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,290.00,290.00,290.00,active
